# bin/capture-manifest scratch/work/kokkos-all-production, taken 2026-09-12 at psyclone 8f5462666b lfric_apps df61404edc: psy module, invoke, kernel, region symbol
advective_and_flux_alg_mod_psy	invoke_0	sample_field_code	sample_field_r_double_kokkos
advective_and_flux_alg_mod_psy	invoke_3_horizontal_mass_flux_kernel_type	horizontal_mass_flux_code	horizontal_mass_flux_kokkos
advective_and_flux_alg_mod_psy	invoke_4_vertical_mass_flux_kernel_type	vertical_mass_flux_code	vertical_mass_flux_kokkos
advective_and_flux_alg_mod_psy	invoke_7_w3v_advective_update_kernel_type	w3v_advective_update_code	w3v_advective_update_kokkos
advective_and_flux_alg_mod_psy	invoke_8_monotonic_update_kernel_type	monotonic_update_code	monotonic_update_kokkos
ageofair_alg_mod_psy	invoke_1	ageofair_code	ageofair_kokkos
calc_dep_pts_alg_mod_psy	invoke_1	calc_departure_wind_code	calc_departure_wind_kokkos
calc_dep_pts_alg_mod_psy	invoke_1	calc_departure_wind_code	calc_departure_wind_kokkos
calc_dep_pts_alg_mod_psy	invoke_1	fractional_horizontal_wind_code	fractional_horizontal_wind_kokkos
calc_dep_pts_alg_mod_psy	invoke_1	hori_dep_dist_trapezoidal_code	hori_dep_dist_trapezoidal_kokkos
calc_dep_pts_alg_mod_psy	invoke_10_extract_w_kernel_type	extract_w_code	extract_w_r_double_kokkos
calc_dep_pts_alg_mod_psy	invoke_11	extract_w_code	extract_w_r_double_kokkos
calc_dep_pts_alg_mod_psy	invoke_11	extract_w_code	extract_w_r_double_kokkos
calc_dep_pts_alg_mod_psy	invoke_12	vert_dep_dist_ffsl_code	vert_dep_dist_ffsl_kokkos
calc_dep_pts_alg_mod_psy	invoke_16_vert_deppt_sorting_kernel_type	vert_deppt_sorting_code	vert_deppt_sorting_kokkos
calc_dep_pts_alg_mod_psy	invoke_18	calc_vert_dep_wind_code	calc_vert_dep_wind_kokkos
calc_dep_pts_alg_mod_psy	invoke_18	calc_vert_dep_wind_code	calc_vert_dep_wind_kokkos
